Ticker,Type,Country
TICK000,Stock,USA
TICK001,ETF,Canada
TICK002,Index,UK
TICK003,Stock,Germany
TICK004,ETF,Japan
TICK005,Index,India
TICK006,Stock,Australia
TICK007,ETF,China
TICK008,Index,France
TICK009,Stock,Brazil
TICK010,ETF,USA
TICK011,Index,Canada
TICK012,Stock,UK
TICK013,ETF,Germany
TICK014,Index,Japan
TICK015,Stock,India
TICK016,ETF,Australia
TICK017,Index,China
TICK018,Stock,France
TICK019,ETF,Brazil
TICK020,Index,USA
TICK021,Stock,Canada
TICK022,ETF,UK
TICK023,Index,Germany
TICK024,Stock,Japan
TICK025,ETF,India
TICK026,Index,Australia
TICK027,Stock,China
TICK028,ETF,France
TICK029,Index,Brazil
TICK030,Stock,USA
TICK031,ETF,Canada
TICK032,Index,UK
TICK033,Stock,Germany
TICK034,ETF,Japan
TICK035,Index,India
TICK036,Stock,Australia
TICK037,ETF,China
TICK038,Index,France
TICK039,Stock,Brazil
TICK040,ETF,USA
TICK041,Index,Canada
TICK042,Stock,UK
TICK043,ETF,Germany
TICK044,Index,Japan
TICK045,Stock,India
TICK046,ETF,Australia
TICK047,Index,China
TICK048,Stock,France
TICK049,ETF,Brazil
TICK050,Index,USA
TICK051,Stock,Canada
TICK052,ETF,UK
TICK053,Index,Germany
TICK054,Stock,Japan
TICK055,ETF,India
TICK056,Index,Australia
TICK057,Stock,China
TICK058,ETF,France
TICK059,Index,Brazil
TICK060,Stock,USA
TICK061,ETF,Canada
TICK062,Index,UK
TICK063,Stock,Germany
TICK064,ETF,Japan
TICK065,Index,India
TICK066,Stock,Australia
TICK067,ETF,China
TICK068,Index,France
TICK069,Stock,Brazil
TICK070,ETF,USA
TICK071,Index,Canada
TICK072,Stock,UK
TICK073,ETF,Germany
TICK074,Index,Japan
TICK075,Stock,India
TICK076,ETF,Australia
TICK077,Index,China
TICK078,Stock,France
TICK079,ETF,Brazil
TICK080,Index,USA
TICK081,Stock,Canada
TICK082,ETF,UK
TICK083,Index,Germany
TICK084,Stock,Japan
TICK085,ETF,India
TICK086,Index,Australia
TICK087,Stock,China
TICK088,ETF,France
TICK089,Index,Brazil
TICK090,Stock,USA
TICK091,ETF,Canada
TICK092,Index,UK
TICK093,Stock,Germany
TICK094,ETF,Japan
TICK095,Index,India
TICK096,Stock,Australia
TICK097,ETF,China
TICK098,Index,France
TICK099,Stock,Brazil
TICK100,ETF,USA
TICK101,Index,Canada
TICK102,Stock,UK
TICK103,ETF,Germany
TICK104,Index,Japan
TICK105,Stock,India
TICK106,ETF,Australia
TICK107,Index,China
TICK108,Stock,France
TICK109,ETF,Brazil
TICK110,Index,USA
TICK111,Stock,Canada
TICK112,ETF,UK
TICK113,Index,Germany
TICK114,Stock,Japan
TICK115,ETF,India
TICK116,Index,Australia
TICK117,Stock,China
TICK118,ETF,France
TICK119,Index,Brazil
TICK120,Stock,USA
TICK121,ETF,Canada
TICK122,Index,UK
TICK123,Stock,Germany
TICK124,ETF,Japan
TICK125,Index,India
TICK126,Stock,Australia
TICK127,ETF,China
TICK128,Index,France
TICK129,Stock,Brazil
TICK130,ETF,USA
TICK131,Index,Canada
TICK132,Stock,UK
TICK133,ETF,Germany
TICK134,Index,Japan
TICK135,Stock,India
TICK136,ETF,Australia
TICK137,Index,China
TICK138,Stock,France
TICK139,ETF,Brazil
TICK140,Index,USA
TICK141,Stock,Canada
TICK142,ETF,UK
TICK143,Index,Germany
TICK144,Stock,Japan
TICK145,ETF,India
TICK146,Index,Australia
TICK147,Stock,China
TICK148,ETF,France
TICK149,Index,Brazil
TICK150,Stock,USA
TICK151,ETF,Canada
TICK152,Index,UK
TICK153,Stock,Germany
TICK154,ETF,Japan
TICK155,Index,India
TICK156,Stock,Australia
TICK157,ETF,China
TICK158,Index,France
TICK159,Stock,Brazil
TICK160,ETF,USA
TICK161,Index,Canada
TICK162,Stock,UK
TICK163,ETF,Germany
TICK164,Index,Japan
TICK165,Stock,India
TICK166,ETF,Australia
TICK167,Index,China
TICK168,Stock,France
TICK169,ETF,Brazil
TICK170,Index,USA
TICK171,Stock,Canada
TICK172,ETF,UK
TICK173,Index,Germany
TICK174,Stock,Japan
TICK175,ETF,India
TICK176,Index,Australia
TICK177,Stock,China
TICK178,ETF,France
TICK179,Index,Brazil
TICK180,Stock,USA
TICK181,ETF,Canada
TICK182,Index,UK
TICK183,Stock,Germany
TICK184,ETF,Japan
TICK185,Index,India
TICK186,Stock,Australia
TICK187,ETF,China
TICK188,Index,France
TICK189,Stock,Brazil
TICK190,ETF,USA
TICK191,Index,Canada
TICK192,Stock,UK
TICK193,ETF,Germany
TICK194,Index,Japan
TICK195,Stock,India
TICK196,ETF,Australia
TICK197,Index,China
TICK198,Stock,France
TICK199,ETF,Brazil
TICK200,Index,USA
TICK201,Stock,Canada
TICK202,ETF,UK
TICK203,Index,Germany
TICK204,Stock,Japan
TICK205,ETF,India
TICK206,Index,Australia
TICK207,Stock,China
TICK208,ETF,France
TICK209,Index,Brazil
TICK210,Stock,USA
TICK211,ETF,Canada
TICK212,Index,UK
TICK213,Stock,Germany
TICK214,ETF,Japan
TICK215,Index,India
TICK216,Stock,Australia
TICK217,ETF,China
TICK218,Index,France
TICK219,Stock,Brazil
TICK220,ETF,USA
TICK221,Index,Canada
TICK222,Stock,UK
TICK223,ETF,Germany
TICK224,Index,Japan
TICK225,Stock,India
TICK226,ETF,Australia
TICK227,Index,China
TICK228,Stock,France
TICK229,ETF,Brazil
TICK230,Index,USA
TICK231,Stock,Canada
TICK232,ETF,UK
TICK233,Index,Germany
TICK234,Stock,Japan
TICK235,ETF,India
TICK236,Index,Australia
TICK237,Stock,China
TICK238,ETF,France
TICK239,Index,Brazil
TICK240,Stock,USA
TICK241,ETF,Canada
TICK242,Index,UK
TICK243,Stock,Germany
TICK244,ETF,Japan
TICK245,Index,India
TICK246,Stock,Australia
TICK247,ETF,China
TICK248,Index,France
TICK249,Stock,Brazil
TICK250,ETF,USA
TICK251,Index,Canada
TICK252,Stock,UK
TICK253,ETF,Germany
TICK254,Index,Japan
TICK255,Stock,India
TICK256,ETF,Australia
TICK257,Index,China
TICK258,Stock,France
TICK259,ETF,Brazil
TICK260,Index,USA
TICK261,Stock,Canada
TICK262,ETF,UK
TICK263,Index,Germany
TICK264,Stock,Japan
TICK265,ETF,India
TICK266,Index,Australia
TICK267,Stock,China
TICK268,ETF,France
TICK269,Index,Brazil
TICK270,Stock,USA
TICK271,ETF,Canada
